antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'NBD_sum'}),frozenset({'PAR_avg'}),0.5096774193548387,0.6580645161290323,0.3419354838709677,0.6708860759493671,1.0194837428642343,0.006534859521331926,1.0389578163771713
frozenset({'VG_max'}),frozenset({'PAR_avg'}),0.432258064516129,0.6580645161290323,0.3161290322580645,0.7313432835820896,1.111354989757097,0.031675338189386004,1.2727598566308242
frozenset({'NOM_max'}),frozenset({'PAR_avg'}),0.47096774193548385,0.6580645161290323,0.36129032258064514,0.7671232876712328,1.165726564598442,0.051363163371487996,1.46831119544592
frozenset({'NSF_avg'}),frozenset({'PAR_avg'}),0.36774193548387096,0.6580645161290323,0.3032258064516129,0.8245614035087719,1.2530099759201927,0.061227887617065546,1.949032258064516
frozenset({'PAR_avg'}),frozenset({'NOM_avg'}),0.6580645161290323,0.6258064516129033,0.4838709677419355,0.7352941176470589,1.1749545178896301,0.07204994797086367,1.413620071684588
frozenset({'NOM_avg'}),frozenset({'PAR_avg'}),0.6258064516129033,0.6580645161290323,0.4838709677419355,0.7731958762886597,1.17495451788963,0.07204994797086367,1.5076246334310843
frozenset({'NOF_sum'}),frozenset({'PAR_avg'}),0.5032258064516129,0.6580645161290323,0.3870967741935484,0.7692307692307693,1.1689291101055808,0.05594172736732572,1.481720430107527
frozenset({'NOF_avg'}),frozenset({'PAR_avg'}),0.49032258064516127,0.6580645161290323,0.36129032258064514,0.7368421052631579,1.1197110423116614,0.03862643080124867,1.2993548387096772
frozenset({'PAR_avg'}),frozenset({'FOUT_avg'}),0.6580645161290323,0.6193548387096774,0.47096774193548385,0.7156862745098038,1.155535130718954,0.06339229968782512,1.3388209121245822
frozenset({'FOUT_avg'}),frozenset({'PAR_avg'}),0.6193548387096774,0.6580645161290323,0.47096774193548385,0.7604166666666666,1.155535130718954,0.06339229968782512,1.4272089761570825
frozenset({'FOUT_sum'}),frozenset({'PAR_avg'}),0.4645161290322581,0.6580645161290323,0.3741935483870968,0.8055555555555556,1.2241285403050108,0.06851196670135273,1.75852534562212
frozenset({'VG_sum'}),frozenset({'PAR_avg'}),0.47096774193548385,0.6580645161290323,0.3419354838709677,0.726027397260274,1.1032769272092398,0.03200832466181058,1.2480645161290322
frozenset({'NSM_sum'}),frozenset({'PAR_avg'}),0.4,0.6580645161290323,0.3161290322580645,0.7903225806451611,1.2009803921568625,0.05290322580645157,1.6307692307692296
frozenset({'NSM_avg'}),frozenset({'PAR_avg'}),0.36774193548387096,0.6580645161290323,0.3032258064516129,0.8245614035087719,1.2530099759201927,0.061227887617065546,1.949032258064516
frozenset({'NSF_max'}),frozenset({'PAR_avg'}),0.4258064516129032,0.6580645161290323,0.3548387096774194,0.8333333333333334,1.2663398692810457,0.07463059313215403,2.051612903225807
frozenset({'FOUT_max'}),frozenset({'PAR_avg'}),0.45161290322580644,0.6580645161290323,0.34838709677419355,0.7714285714285715,1.1722689075630253,0.051196670135275735,1.495967741935484
frozenset({'NBD_avg'}),frozenset({'PAR_avg'}),0.5161290322580645,0.6580645161290323,0.36774193548387096,0.7125,1.0827205882352942,0.02809573361082207,1.1893408134642356
frozenset({'ACD'}),frozenset({'PAR_avg'}),0.4258064516129032,0.6580645161290323,0.3032258064516129,0.7121212121212122,1.0821449792038027,0.02301768990634756,1.1877758913412564
frozenset({'NSM_max'}),frozenset({'PAR_avg'}),0.44516129032258067,0.6580645161290323,0.34838709677419355,0.7826086956521738,1.1892583120204603,0.055442247658688826,1.572903225806451
frozenset({'MLOC_avg'}),frozenset({'PAR_avg'}),0.5483870967741935,0.6580645161290323,0.3548387096774194,0.6470588235294118,0.9832756632064591,-0.006035379812695085,0.9688172043010753
frozenset({'PAR_avg'}),frozenset({'TLOC'}),0.6580645161290323,0.6709677419354839,0.4774193548387097,0.7254901960784313,1.081259426847662,0.035879292403746044,1.1986175115207371
frozenset({'TLOC'}),frozenset({'PAR_avg'}),0.6709677419354839,0.6580645161290323,0.4774193548387097,0.7115384615384615,1.081259426847662,0.035879292403746044,1.185376344086021
frozenset({'PAR_sum'}),frozenset({'PAR_avg'}),0.3741935483870968,0.6580645161290323,0.3161290322580645,0.8448275862068965,1.283806626098715,0.06988553590010402,2.2035842293906795
frozenset({'PAR_avg'}),frozenset({'PAR_max'}),0.6580645161290323,0.7677419354838709,0.5290322580645161,0.803921568627451,1.0471247322458397,0.02380853277835593,1.1845161290322583
frozenset({'PAR_max'}),frozenset({'PAR_avg'}),0.7677419354838709,0.6580645161290323,0.5290322580645161,0.689075630252101,1.0471247322458397,0.02380853277835593,1.0997384481255452
frozenset({'NOF_max'}),frozenset({'PAR_avg'}),0.45161290322580644,0.6580645161290323,0.3419354838709677,0.7571428571428571,1.1505602240896358,0.04474505723204991,1.4079696394686905
frozenset({'MLOC_max'}),frozenset({'PAR_avg'}),0.4774193548387097,0.6580645161290323,0.3419354838709677,0.7162162162162162,1.0883677795442501,0.027762747138397492,1.204915514592934
frozenset({'PAR_avg'}),frozenset({'NBD_max'}),0.6580645161290323,0.6,0.41935483870967744,0.6372549019607843,1.0620915032679739,0.024516129032258083,1.1027027027027025
frozenset({'NBD_max'}),frozenset({'PAR_avg'}),0.6,0.6580645161290323,0.41935483870967744,0.6989247311827957,1.0620915032679739,0.024516129032258083,1.135714285714286
frozenset({'PAR_avg'}),frozenset({'pre'}),0.6580645161290323,0.9548387096774194,0.6193548387096774,0.9411764705882353,0.985691573926868,-0.008990634755463023,0.7677419354838708
