antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'avg_cc'}),frozenset({'cbo'}),0.4645161290322581,0.8,0.3741935483870968,0.8055555555555556,1.0069444444444444,0.002580645161290307,1.0285714285714285
frozenset({'avg_cc'}),frozenset({'ic'}),0.4645161290322581,0.6129032258064516,0.3096774193548387,0.6666666666666666,1.0877192982456139,0.024973985431841816,1.161290322580645
frozenset({'avg_cc'}),frozenset({'dam'}),0.4645161290322581,0.6580645161290323,0.3548387096774194,0.7638888888888888,1.1608115468409586,0.04915712799167532,1.44819734345351
frozenset({'avg_cc'}),frozenset({'lcom3'}),0.4645161290322581,0.8,0.3870967741935484,0.8333333333333333,1.0416666666666665,0.015483870967741897,1.1999999999999993
frozenset({'avg_cc'}),frozenset({'npm'}),0.4645161290322581,0.6,0.34838709677419355,0.75,1.25,0.06967741935483873,1.6
frozenset({'avg_cc'}),frozenset({'dit'}),0.4645161290322581,0.6193548387096774,0.3419354838709677,0.736111111111111,1.1885127314814814,0.05423517169614983,1.4424448217317483
frozenset({'avg_cc'}),frozenset({'ce'}),0.4645161290322581,0.7483870967741936,0.3870967741935484,0.8333333333333333,1.1135057471264367,0.03945889698231003,1.509677419354838
frozenset({'moa'}),frozenset({'cbo'}),0.3870967741935484,0.8,0.3225806451612903,0.8333333333333334,1.0416666666666667,0.01290322580645159,1.2
frozenset({'moa'}),frozenset({'npm'}),0.3870967741935484,0.6,0.3161290322580645,0.8166666666666667,1.3611111111111112,0.08387096774193548,2.1818181818181817
frozenset({'moa'}),frozenset({'dit'}),0.3870967741935484,0.6193548387096774,0.3161290322580645,0.8166666666666667,1.3185763888888888,0.07637877211238289,2.07624633431085
frozenset({'moa'}),frozenset({'ce'}),0.3870967741935484,0.7483870967741936,0.32903225806451614,0.8500000000000001,1.1357758620689655,0.03933402705515088,1.6774193548387104
frozenset({'noc'}),frozenset({'rfc'}),0.47096774193548385,0.5548387096774193,0.3032258064516129,0.6438356164383562,1.1604014017202933,0.04191467221644124,1.249875930521092
frozenset({'noc'}),frozenset({'cbo'}),0.47096774193548385,0.8,0.36774193548387096,0.7808219178082192,0.976027397260274,-0.00903225806451613,0.9124999999999999
frozenset({'noc'}),frozenset({'max_cc'}),0.47096774193548385,0.47096774193548385,0.3032258064516129,0.6438356164383562,1.367048226684181,0.08141519250780438,1.4853598014888338
frozenset({'max_cc'}),frozenset({'noc'}),0.47096774193548385,0.47096774193548385,0.3032258064516129,0.6438356164383562,1.367048226684181,0.08141519250780438,1.4853598014888338
frozenset({'noc'}),frozenset({'ic'}),0.47096774193548385,0.6129032258064516,0.3225806451612903,0.684931506849315,1.1175198269646718,0.03392299687825184,1.2286115007012621
frozenset({'noc'}),frozenset({'dam'}),0.47096774193548385,0.6580645161290323,0.36774193548387096,0.7808219178082192,1.186543110394843,0.05781477627471382,1.5600806451612903
frozenset({'noc'}),frozenset({'lcom3'}),0.47096774193548385,0.8,0.36774193548387096,0.7808219178082192,0.976027397260274,-0.00903225806451613,0.9124999999999999
frozenset({'noc'}),frozenset({'npm'}),0.47096774193548385,0.6,0.33548387096774196,0.7123287671232877,1.1872146118721463,0.05290322580645168,1.3904761904761909
frozenset({'noc'}),frozenset({'dit'}),0.47096774193548385,0.6193548387096774,0.34838709677419355,0.7397260273972603,1.1943493150684932,0.05669094693028098,1.4624787775891344
frozenset({'noc'}),frozenset({'amc'}),0.47096774193548385,0.4967741935483871,0.3096774193548387,0.6575342465753425,1.3236078989503648,0.07571279916753385,1.4694193548387098
frozenset({'amc'}),frozenset({'noc'}),0.4967741935483871,0.47096774193548385,0.3096774193548387,0.6233766233766234,1.3236078989503648,0.07571279916753385,1.4046718576195774
frozenset({'noc'}),frozenset({'ce'}),0.47096774193548385,0.7483870967741936,0.3870967741935484,0.821917808219178,1.098252243741143,0.034630593132154,1.4129032258064511
frozenset({'rfc'}),frozenset({'mfa'}),0.5548387096774193,0.5741935483870968,0.3548387096774194,0.6395348837209303,1.1137967076038673,0.03625390218522373,1.1812695109261186
frozenset({'mfa'}),frozenset({'rfc'}),0.5741935483870968,0.5548387096774193,0.3548387096774194,0.6179775280898876,1.1137967076038673,0.03625390218522373,1.1652751423149905
frozenset({'mfa'}),frozenset({'cbo'}),0.5741935483870968,0.8,0.4645161290322581,0.8089887640449438,1.0112359550561796,0.005161290322580614,1.0470588235294114
frozenset({'ic'}),frozenset({'mfa'}),0.6129032258064516,0.5741935483870968,0.4,0.6526315789473685,1.1366055588409225,0.048074921956295535,1.2258064516129032
frozenset({'mfa'}),frozenset({'ic'}),0.5741935483870968,0.6129032258064516,0.4,0.6966292134831461,1.1366055588409225,0.048074921956295535,1.2759856630824373
frozenset({'dam'}),frozenset({'mfa'}),0.6580645161290323,0.5741935483870968,0.4064516129032258,0.6176470588235293,1.075677461996034,0.028595213319458856,1.1136476426799005
frozenset({'mfa'}),frozenset({'dam'}),0.5741935483870968,0.6580645161290323,0.4064516129032258,0.7078651685393258,1.0756774619960343,0.028595213319458856,1.1704714640198508
