antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'avg_cc'}),frozenset({'rfc'}),0.36774193548387096,0.9096774193548387,0.36129032258064514,0.9824561403508771,1.0800049769814606,0.02676378772112381,5.148387096774178
frozenset({'moa'}),frozenset({'rfc'}),0.33548387096774196,0.9096774193548387,0.3225806451612903,0.9615384615384615,1.0570103655210037,0.017398543184183102,2.3483870967741884
frozenset({'noc'}),frozenset({'rfc'}),0.34838709677419355,0.9096774193548387,0.3419354838709677,0.9814814814814814,1.0789335434725504,0.025015608740894868,4.877419354838689
frozenset({'mfa'}),frozenset({'rfc'}),0.4064516129032258,0.9096774193548387,0.3870967741935484,0.9523809523809524,1.0469436001350896,0.017356919875130106,1.8967741935483895
frozenset({'mfa'}),frozenset({'ce'}),0.4064516129032258,0.6516129032258065,0.3032258064516129,0.746031746031746,1.144900204306145,0.0383766909469303,1.3717741935483871
frozenset({'cbo'}),frozenset({'rfc'}),0.44516129032258067,0.9096774193548387,0.432258064516129,0.9710144927536232,1.0674272792681674,0.027304890738813703,3.116129032258063
frozenset({'max_cc'}),frozenset({'rfc'}),0.34838709677419355,0.9096774193548387,0.3096774193548387,0.888888888888889,0.9771473601260836,-0.007242455775234136,0.8129032258064521
frozenset({'ic'}),frozenset({'rfc'}),0.3419354838709677,0.9096774193548387,0.33548387096774196,0.9811320754716982,1.0785494446674697,0.02443288241415198,4.787096774193578
frozenset({'dam'}),frozenset({'rfc'}),0.4129032258064516,0.9096774193548387,0.4,0.96875,1.0649379432624113,0.024391259105098873,2.8903225806451616
frozenset({'cam'}),frozenset({'rfc'}),0.4645161290322581,0.9096774193548387,0.4064516129032258,0.8749999999999999,0.9618794326241134,-0.016108220603538004,0.7225806451612897
frozenset({'lcom3'}),frozenset({'rfc'}),0.4258064516129032,0.9096774193548387,0.3935483870967742,0.9242424242424243,1.0160111755856438,0.0062018730489074025,1.1922580645161303
frozenset({'npm'}),frozenset({'rfc'}),0.5032258064516129,0.9096774193548387,0.4774193548387097,0.9487179487179488,1.0429168939807238,0.01964620187304894,1.7612903225806478
frozenset({'ca'}),frozenset({'rfc'}),0.36774193548387096,0.9096774193548387,0.3225806451612903,0.8771929824561403,0.9642901580191613,-0.011945889698231016,0.7354838709677417
frozenset({'dit'}),frozenset({'rfc'}),0.45161290322580644,0.9096774193548387,0.4258064516129032,0.9428571428571428,1.0364741641337385,0.014984391259105112,1.5806451612903223
frozenset({'cbm'}),frozenset({'rfc'}),0.34838709677419355,0.9096774193548387,0.32903225806451614,0.9444444444444444,1.0382190701339638,0.012112382934443278,1.6258064516129027
frozenset({'amc'}),frozenset({'rfc'}),0.43870967741935485,0.9096774193548387,0.41935483870967744,0.9558823529411765,1.0507926574885273,0.02027055150884499,2.0473118279569915
frozenset({'loc'}),frozenset({'rfc'}),0.5096774193548387,0.9096774193548387,0.45806451612903226,0.8987341772151899,0.9879701948110243,-0.005577523413111296,0.891935483870968
frozenset({'lcom'}),frozenset({'rfc'}),0.4,0.9096774193548387,0.38064516129032255,0.9516129032258064,1.0460992907801419,0.01677419354838705,1.8666666666666643
frozenset({'rfc'}),frozenset({'ce'}),0.9096774193548387,0.6516129032258065,0.567741935483871,0.624113475177305,0.9577979074503196,-0.025015608740894923,0.9268411442483263
frozenset({'ce'}),frozenset({'rfc'}),0.6516129032258065,0.9096774193548387,0.567741935483871,0.8712871287128713,0.9577979074503195,-0.025015608740894923,0.7017369727047147
frozenset({'npm'}),frozenset({'cbo'}),0.5032258064516129,0.44516129032258067,0.3032258064516129,0.6025641025641026,1.353586027499071,0.07920915712799168,1.3960457856399586
frozenset({'cbo'}),frozenset({'npm'}),0.44516129032258067,0.5032258064516129,0.3032258064516129,0.681159420289855,1.353586027499071,0.07920915712799168,1.558064516129032
frozenset({'cbo'}),frozenset({'ce'}),0.44516129032258067,0.6516129032258065,0.33548387096774196,0.7536231884057971,1.156550437652461,0.04541103017689907,1.4140417457305503
frozenset({'dam'}),frozenset({'ce'}),0.4129032258064516,0.6516129032258065,0.33548387096774196,0.8125000000000001,1.2469059405940597,0.06643080124869932,1.8580645161290334
frozenset({'npm'}),frozenset({'cam'}),0.5032258064516129,0.4645161290322581,0.3032258064516129,0.6025641025641026,1.2971866096866098,0.06946930280957336,1.3473465140478669
frozenset({'cam'}),frozenset({'npm'}),0.4645161290322581,0.5032258064516129,0.3032258064516129,0.6527777777777778,1.2971866096866098,0.06946930280957336,1.430709677419355
