antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'avg_cc'}),frozenset({'ce'}),0.3741935483870968,0.8258064516129032,0.34838709677419355,0.9310344827586207,1.1274245689655171,0.03937565036420393,2.5258064516129024
frozenset({'cbo'}),frozenset({'cam'}),0.4838709677419355,0.5161290322580645,0.3032258064516129,0.6266666666666666,1.2141666666666666,0.0534859521331946,1.2960829493087556
frozenset({'cbo'}),frozenset({'ce'}),0.4838709677419355,0.8258064516129032,0.36774193548387096,0.76,0.9203125,-0.03184183142559838,0.7258064516129032
frozenset({'dam'}),frozenset({'ce'}),0.4129032258064516,0.8258064516129032,0.3225806451612903,0.78125,0.946044921875,-0.01839750260145684,0.7963133640552995
frozenset({'cam'}),frozenset({'ce'}),0.5161290322580645,0.8258064516129032,0.43870967741935485,0.8500000000000001,1.029296875,0.012486992715920964,1.161290322580646
frozenset({'dit'}),frozenset({'ce'}),0.3870967741935484,0.8258064516129032,0.3161290322580645,0.8166666666666667,0.9889322916666666,-0.003537981269510937,0.9501466275659823
